ID;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Previous qualification (grade);Nationality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International
2541;1;7;1;9147;1;3;120;1;1;39;4;7;120;0;0;0;1;0;0;333;0
2554;1;17;1;9991;0;1;160;1;34;34;0;0;161.8;1;0;1;1;1;0;333;0
2790;1;39;1;171;1;1;133.1;1;37;37;9;7;100;0;0;1;1;1;1;333;0
2799;1;42;1;9500;1;1;150;1;19;1;9;3;110;1;0;0;1;1;1;333;0
2883;2;39;1;9991;0;1;133.1;1;37;37;9;9;113.4;0;0;0;1;0;0;333;0
3074;1;39;1;9119;1;1;130;1;19;37;9;4;149;1;0;0;1;1;0;333;0
3086;2;7;1;9147;1;3;110;1;19;1;9;9;110;0;0;0;1;0;0;333;0
3201;2;39;1;9238;1;42;170;1;19;38;8;8;159.5;0;0;0;1;1;0;333;0
3307;2;43;1;9254;1;3;120;1;38;37;9;3;120;1;0;0;1;0;0;333;0
3494;1;7;1;9119;1;3;130;1;37;37;9;9;130;0;0;0;0;1;0;333;0
3552;1;39;1;9238;1;19;133.1;1;37;37;9;9;139;0;0;1;0;1;0;333;0
3561;2;39;1;9500;1;19;133.1;1;19;19;4;4;100;0;0;0;1;1;0;333;0
3634;1;39;1;9254;1;1;170;1;37;37;4;6;138.3;0;0;0;1;0;0;333;0
3638;4;39;1;9853;1;19;133.1;1;38;19;9;9;108;0;0;1;0;0;0;333;0
3690;1;43;1;9130;1;1;130;1;1;1;1;1;130;1;0;0;1;1;0;333;0
3900;2;7;1;9147;Y;3;120;1;37;37;9;9;120;0;0;0;1;0;0;333;0
3912;2;44;1;8014;0;39;160;1;37;19;9;10;155.9;0;0;0;1;0;0;333;0
690;4;39;2;9147;1;19;133.1;1;37;37;9;7;116.4;0;0;1;0;1;0;70;0
2960;5;39;1;9254;1;1;133.1;1;2;2;2;2;103;0;0;0;1;0;0;62;0
950;1;39;1;9147;1;1;140;1;37;3;9;2;135.1;0;0;0;1;1;0;61;0
708;2;39;1;9003;Y;1;150;1;37;37;9;6;140;0;0;0;1;1;0;60;0
2868;1;39;1;9003;1;19;133.1;1;37;37;9;9;100;0;0;0;1;0;0;60;0
3282;2;7;1;8014;0;3;130;1;35;35;90;90;140;0;0;0;0;0;0;59;0
968;1;39;1;9003;1;12;133.1;1;37;19;9;10;120;0;0;0;1;1;0;58;0
1411;1;39;1;8014;0;19;133.1;1;37;37;9;5;135.5;0;0;0;1;0;0;58;0
3757;1;39;1;8014;0;1;130;1;37;37;9;9;120;0;0;0;1;0;0;58;0
2662;2;39;1;9773;1;38;100;1;37;37;9;7;154;1;0;0;1;1;0;57;0
3075;2;2;1;9147;1;2;120;1;37;37;9;9;120;0;0;0;0;1;0;57;0
38;1;43;1;9147;Y;1;140;1;37;37;6;6;122.9;0;0;0;1;0;0;55;0
3808;1;39;1;8014;0;19;149;1;34;34;0;0;126.3;0;0;0;1;0;0;55;0
3852;4;39;1;9773;1;12;120;1;37;37;4;9;130;0;0;0;0;1;0;55;0
769;2;39;1;8014;0;1;133.1;1;37;37;9;7;162.5;0;0;0;1;1;0;54;0
