ID;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
1;0;0;0;0;0;0;0;0;0;0;0;0;10.8;1.4;1.74;Dropout
3;0;6;0;0;0;0;0;6;0;0;0;0;10.8;1.4;1.74;Dropout
8;0;5;5;0;0;0;0;5;5;0;0;0;15.5;2.8;-4.06;Dropout
10;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout
13;0;6;6;0;0;0;0;6;0;0;0;0;12.7;3.7;-1.7;Dropout
16;0;6;6;5;13.2;0;0;6;7;0;0;0;15.5;2.8;-4.06;Dropout
36;0;7;7;0;0;0;0;7;7;1;10;0;8.9;1.4;3.51;Dropout
37;0;5;0;0;0;0;0;5;0;0;0;0;7.6;2.6;0.32;Dropout
38;0;5;10;1;10;0;0;5;8;2;12;2;16.2;0.3;-0.92;Dropout
40;2;6;13;3;11.66666667;0;1;6;11;3;12;0;12.4;0.5;1.79;Dropot
41;0;6;6;4;12.75;0;0;5;5;0;0;0;12.7;3.7;-1.7;Dropout
44;0;6;7;4;13;0;0;6;7;5;13.8;0;12.4;0.5;1.79;Dropout
45;0;5;0;0;0;0;0;5;0;0;0;0;16.2;0.3;-0.92;Dropout
55;0;5;12;5;10.6;0;0;5;10;5;11;0;9.4;-0.8;-3.12;Dropout
57;0;6;10;0;0;0;0;6;6;0;0;0;12.4;0.5;1.79;Dropout
58;0;6;9;5;13;0;5;11;13;10;12.9;0;12.4;0.5;1.79;Dropot
66;2;7;10;5;11.9;0;1;8;10;5;11;0;13.9;-0.3;0.79;Dropout
69;0;5;8;5;11.2;0;0;5;10;4;10.75;3;16.2;0.3;-0.92;Dropout
73;0;0;0;0;0;0;0;0;0;0;0;0;15.5;2.8;-4.06;Dropout
74;0;6;12;3;11.66666667;0;0;6;12;1;12;0;12.4;0.5;1.79;Dropout
76;0;5;8;3;10.33333333;0;0;5;11;3;10.85714286;0;10.8;1.4;1.74;Dropout
