ID;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Previous qualification (grade);Nationality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
239;1;1;1;9130;1;1;126;1;19;1;9;9;122.5;1;0;0;0;0;0;25;;0;5;14;4;13.5;2;0;5;10;4;14.25;0;9.4;-0.8;-3.12;Dropout
240;1;39;1;9085;1;19;133.1;1;19;19;9;7;140;0;0;1;0;0;0;24;;2;6;11;3;11.75;0;1;6;14;3;10.33333333;0;16.2;0.3;-0.92;Dropout
244;1;39;1;9147;1;1;120;1;37;1;9;1;122.7;0;0;0;0;0;0;25;;0;5;5;0;0;0;0;5;9;0;0;0;10.8;1.4;1.74;Dropout
248;1;44;1;9003;1;39;130;1;37;37;9;10;130;0;0;1;0;0;0;29;;0;6;13;3;12.75;0;0;6;8;3;11.33333333;0;13.9;-0.3;0.79;Dropout
256;2;39;1;9556;1;19;133.1;1;38;37;7;7;99.5;1;0;1;0;0;1;37;;0;7;13;1;16;0;0;7;12;0;0;0;8.9;1.4;3.51;Dropout
260;1;43;1;9238;1;1;124;1;1;1;3;1;118.8;1;0;1;0;0;0;22;;6;10;16;6;11.83333333;0;2;7;8;2;13;0;16.2;0.3;-0.92;Dropout
263;1;43;1;9119;1;1;130;1;37;38;9;9;120;0;0;1;0;0;0;30;;8;12;17;8;11.75;0;6;12;19;6;12.16666667;2;7.6;2.6;0.32;Dropout
272;1;1;2;9147;1;1;121;1;1;19;9;9;113.7;1;0;0;0;0;0;20;;0;5;10;2;10;0;0;5;12;1;13;0;7.6;2.6;0.32;Dropout
278;2;7;1;9130;1;3;140;1;5;4;2;0;140;0;0;1;0;0;0;29;;7;9;16;7;11.55555556;4;5;7;12;5;13.2;2;7.6;2.6;0.32;Dropout
304;1;51;1;9670;1;1;136;1;19;19;5;5;122;0;0;1;0;0;0;18;;0;5;6;2;12.5;0;0;5;6;4;10.25;0;9.4;-0.8;-3.12;Dropout
310;1;44;1;9130;1;39;120;1;37;37;7;8;120;1;0;1;0;0;0;19;;2;6;7;5;11.6;0;1;6;12;2;11;0;12.4;0.5;1.79;Dropout
321;1;7;1;9085;1;40;150;1;19;19;9;5;150;0;0;1;0;0;0;26;;0;3;3;0;0;0;0;6;0;0;0;0;8.9;1.4;3.51;Dropout
